,이름,크기,거주환경,실내실외,외로움,운동량,털빠짐,친화성(애교),의료비용,개짖음,집지키기
,시바견,S,A,IO,4,5,3,3,10u,2,3
,시바견,S,J,IO,5,4,3,3,10u,3,2
,시바견,S,J,IO,3,4,2,4,30u,3,4
,시바견,S,A,I,2,4,2,5,30u,2,4
,시바견,S,A,I,2,3,1,4,10u,2,5
,시바견,S,A,I,4,4,3,3,30u,1,2
,시바견,S,J,IO,1,3,3,2,10u,1,2
,시바견,S,A,I,4,3,4,3,30u,2,3
,슈나우저,S,A,I,4,4,2,3,10u,3,3
,슈나우저,S,A,I,4,5,3,3,10u,4,4
,슈나우저,S,A,I,4,4,2,3,30u,4,4
,슈나우저,S,A,I,5,4,2,2,30u,3,5
,슈나우저,S,J,O,5,5,2,3,10u,3,3
,슈나우저,S,A,I,5,3,1,1,10u,2,4
,슈나우저,S,A,I,4,3,2,2,10u,3,4
,슈나우저,S,J,I,4,3,2,3,30u,3,4
,슈나우저,S,A,I,4,4,3,3,30u,4,3
,슈나우저,S,A,IO,3,2,3,3,10u,4,2
,슈나우저,S,A,IO,3,4,2,4,30o,5,1
,슈나우저,S,J,I,4,4,2,4,30o,3,2
,슈나우저,S,J,IO,4,3,2,4,30u,3,3
,슈나우저,S,J,I,5,2,1,3,30o,4,3
,슈나우저,S,A,I,3,2,2,4,30o,4,3
,슈나우저,S,A,O,3,1,3,4,30u,4,4
,슈나우저,S,A,I,4,3,3,4,30u,3,4
,슈나우저,S,A,IO,4,3,4,5,10u,3,3
,슈나우저,S,A,IO,4,4,4,3,10u,2,3
,슈나우저,S,J,IO,5,4,5,3,10u,1,4
,슈나우저,S,J,IO,3,3,3,3,30o,2,5
,슈나우저,S,A,I,3,4,3,3,10u,2,5
,슈나우저,S,A,I,4,4,2,2,10u,3,4
,슈나우저,S,A,I,4,4,1,2,30o,3,4
,슈나우저,S,A,I,4,3,2,3,30u,4,4
,슈나우저,S,J,O,4,2,3,4,30u,4,3
,슈나우저,S,A,IO,5,1,4,4,30u,5,3
,슈나우저,S,A,IO,3,2,3,3,10u,3,3
,슈나우저,S,A,IO,3,3,2,3,10u,2,4
,슈나우저,S,A,I,4,4,2,3,10u,2,4
,슈나우저,S,J,I,4,5,3,3,10u,3,4
,슈나우저,S,J,I,2,4,4,3,10u,4,5
,슈나우저,S,A,I,4,4,2,2,30u,5,2
,슈나우저,S,A,O,3,3,2,2,30u,3,3
,슈나우저,S,A,IO,4,2,2,1,10u,3,4
,슈나우저,S,J,I,4,4,1,2,10u,3,4
,슈나우저,S,J,I,3,4,2,3,30u,3,2
,슈나우저,S,A,I,4,5,2,3,30u,4,1
,슈나우저,S,A,I,3,3,3,3,10u,4,1
,슈나우저,S,A,IO,4,4,3,4,30u,4,1
,슈나우저,S,A,IO,3,4,2,4,10u,3,2
,슈나우저,S,J,IO,2,4,1,4,10u,3,3
,슈나우저,S,J,I,3,2,2,5,10u,3,3
,슈나우저,S,A,I,4,1,2,3,30u,2,4
,슈나우저,S,A,I,4,2,2,3,10u,3,4
,슈나우저,S,A,I,5,2,3,4,10u,3,4
,슈나우저,S,A,I,3,3,2,4,10u,4,5
,슈나우저,S,A,O,3,3,2,4,30u,4,4
,슈나우저,S,A,I,3,4,2,3,10u,5,4
,슈나우저,S,A,IO,4,4,2,3,30u,5,3
,사모예드,M,A,IO,4,4,5,4,10u,3,2
,사모예드,M,J,IO,5,5,5,4,30u,4,1
,사모예드,M,J,IO,4,4,5,5,10u,2,2
,사모예드,M,A,O,4,3,4,4,10u,3,3
,사모예드,M,A,O,5,3,4,3,10u,3,3
,사모예드,M,J,I,5,4,5,4,30u,4,2
,사모예드,M,J,I,4,4,5,4,10u,4,2
,사모예드,M,J,O,4,5,5,5,30u,5,1
,사모예드,M,A,O,3,4,4,3,10u,2,2
,사모예드,M,A,I,4,4,4,4,30u,3,2
,사모예드,M,A,O,4,4,3,4,30o,3,3
,사모예드,M,J,O,4,4,4,5,10u,3,1
,사모예드,M,J,IO,5,3,4,3,10u,4,2
,사모예드,M,A,IO,4,4,4,4,30u,2,3
,사모예드,M,A,O,4,5,5,4,30u,3,3
,사모예드,M,A,O,4,5,4,4,10u,3,3
,사모예드,M,J,IO,4,3,4,5,30u,4,2
,사모예드,M,A,IO,4,4,4,4,30o,4,3
,사모예드,M,A,IO,5,4,4,4,30o,3,4
,사모예드,M,A,I,5,4,5,4,30u,3,2
,사모예드,M,J,I,4,5,5,4,10u,2,2
,사모예드,M,J,I,4,4,3,3,10u,3,2
,사모예드,M,J,O,4,4,4,3,10u,3,1
,사모예드,M,A,O,3,3,4,2,30u,3,2
,사모예드,M,A,O,4,4,4,4,10u,3,3
,사모예드,M,A,I,4,5,4,4,10u,4,3
,사모예드,M,J,O,3,4,5,4,30u,4,3
,사모예드,M,A,I,4,4,4,5,30u,2,3
,사모예드,M,J,O,4,4,4,5,10u,2,3
,사모예드,M,J,IO,5,4,5,5,40u,3,2
,사모예드,M,A,IO,4,3,5,4,10u,3,2
,사모예드,M,J,IO,4,4,5,4,30u,3,1
,사모예드,M,A,I,4,4,4,4,10u,4,1
,사모예드,M,J,I,5,3,4,4,30u,4,2
,사모예드,M,A,I,4,4,4,3,10u,3,3
,사모예드,M,A,O,4,4,4,3,30u,3,4
,사모예드,M,A,O,4,5,3,3,10u,4,3
,사모예드,M,J,I,3,5,4,4,30u,4,2
,사모예드,M,J,O,4,4,5,4,30u,3,2
,사모예드,M,A,O,4,4,5,4,10u,3,2
,사모예드,M,A,I,4,3,4,5,10u,4,1
,사모예드,M,A,IO,5,3,4,5,10u,3,1
,사모예드,M,J,IO,5,3,4,4,30u,3,3
,사모예드,M,J,IO,4,4,5,4,10u,4,3
,사모예드,M,J,IO,4,4,4,3,10u,3,2
,사모예드,M,A,O,4,4,3,3,30u,3,2
,사모예드,M,A,O,3,5,4,3,10u,5,2
,사모예드,M,A,IO,3,5,5,2,40u,3,2
,사모예드,M,J,IO,4,4,5,3,10u,3,1
,사모예드,M,A,I,4,4,5,4,30o,4,2
,삽살개,M,A,I,4,3,3,3,10u,2,5
,삽살개,M,J,O,5,3,3,3,10u,2,4
,삽살개,M,A,IO,3,4,3,3,30u,2,4
,삽살개,M,A,IO,4,4,2,2,30u,3,4
,삽살개,M,J,I,5,2,1,1,10u,3,4
,삽살개,M,J,O,3,3,2,3,10u,3,4
,삽살개,M,J,I,4,4,3,3,30o,2,4
,삽살개,M,A,I,5,3,3,4,10u,2,5
,삽살개,M,A,O,5,3,4,4,30o,1,5
,삽살개,M,A,O,4,3,4,3,10u,2,4
,삽살개,M,J,I,3,2,5,3,30u,3,4
,삽살개,M,J,I,3,1,3,3,30o,4,4
,삽살개,M,J,O,3,2,2,3,30u,4,5
,삽살개,M,A,I,4,3,3,5,10u,3,3
,삽살개,M,A,O,3,3,3,3,10u,3,3
,삽살개,M,J,IO,2,4,3,3,30o,2,4
,삽살개,M,A,IO,2,5,3,3,10u,3,4
,삽살개,M,J,I,1,3,2,2,30u,1,4
,삽살개,M,A,O,2,3,3,3,30u,2,4
,삽살개,M,J,I,3,3,3,1,30u,2,4
,삽살개,M,A,O,3,2,4,3,10u,2,4
,삽살개,M,A,I,2,3,4,3,10u,3,5
,삽살개,M,J,I,1,2,5,4,30u,3,4
,삽살개,M,J,O,2,3,3,4,10u,4,4
,삽살개,M,J,I,3,4,3,3,30u,1,3
,삽살개,M,A,I,3,4,2,3,10u,2,4
,삽살개,M,A,O,4,3,1,2,30u,3,4
,삽살개,M,A,O,3,2,2,3,10u,3,4
,삽살개,M,J,IO,2,3,3,3,10u,3,5
,삽살개,M,J,IO,1,3,3,3,30u,3,4
,삽살개,M,A,I,2,3,3,3,10u,2,4
,삽살개,M,A,I,3,4,3,3,30u,2,4
,삽살개,M,A,I,3,4,5,4,10u,1,4
,삽살개,M,A,I,4,4,3,4,30u,3,3
,삽살개,M,A,IO,4,5,2,5,30o,5,4
,삽살개,M,J,O,3,3,2,3,30o,2,4
,삽살개,M,A,I,2,2,3,3,10u,2,4
,삽살개,M,A,IO,3,3,3,3,30u,2,4
,삽살개,M,J,IO,4,4,4,3,10u,1,4
,삽살개,M,A,I,3,1,4,3,30u,2,5
,삽살개,M,J,I,2,2,5,4,10u,2,4
,삽살개,M,A,I,5,3,3,4,30u,4,5
,삽살개,M,J,I,3,3,3,3,10u,3,3
,삽살개,M,A,O,2,3,2,3,30u,3,4
,삽살개,M,J,I,3,4,1,3,30o,3,4
,삽살개,M,J,O,4,2,2,3,10u,2,3
,삽살개,M,A,I,1,2,3,3,30u,2,3
,삽살개,M,J,O,2,1,3,4,30u,1,4
,삽살개,M,A,IO,3,2,4,3,10u,3,4
,삽살개,M,A,I,2,3,5,3,10u,4,4
,그레이 하운드,S,A,I,4,4,2,5,10u,4,1
,그레이 하운드,S,A,O,5,5,2,4,10u,4,2
,그레이 하운드,S,J,I,3,4,2,4,30u,4,3
,그레이 하운드,S,J,O,4,4,3,3,30u,4,3
,그레이 하운드,S,A,I,4,4,3,5,30o,4,4
,그레이 하운드,S,A,O,4,5,1,4,30u,3,2
,그레이 하운드,S,J,I,3,3,2,4,30u,3,2
,그레이 하운드,S,A,I,3,4,3,3,30o,2,1
,그레이 하운드,S,J,I,4,4,2,4,10u,3,2
,그레이 하운드,S,A,I,4,4,2,5,10u,1,3
,그레이 하운드,S,J,O,4,3,2,4,10u,2,3
,그레이 하운드,S,J,O,3,4,2,3,10u,2,4
,그레이 하운드,S,J,O,3,4,2,3,30o,3,5
,그레이 하운드,S,J,I,4,4,2,4,30u,3,2
,그레이 하운드,S,A,I,4,4,2,4,30u,3,2
,그레이 하운드,S,A,I,4,4,3,4,30u,2,3
,그레이 하운드,S,A,I,3,5,3,4,30o,3,3
,그레이 하운드,S,J,I,4,3,3,5,30o,4,3
,그레이 하운드,S,J,I,4,3,3,5,30u,5,3
,그레이 하운드,S,A,O,4,4,2,5,30u,4,3
,그레이 하운드,S,J,O,2,4,2,4,30u,4,1
,그레이 하운드,S,A,O,4,4,2,3,30u,3,3
,그레이 하운드,S,J,IO,4,5,1,3,10u,2,4
,그레이 하운드,S,J,IO,3,3,2,4,10u,2,2
,그레이 하운드,S,A,I,3,3,3,5,10u,1,2
,그레이 하운드,S,A,I,3,4,3,4,10u,2,1
,그레이 하운드,S,A,O,3,4,3,4,10u,2,3
,그레이 하운드,S,J,O,4,4,2,5,30u,3,3
,그레이 하운드,S,J,O,4,4,2,5,10u,4,3
,그레이 하운드,S,J,IO,4,5,2,5,30u,3,2
,그레이 하운드,S,A,I,4,3,3,4,10u,5,1
,그레이 하운드,S,J,O,5,4,3,4,30u,3,2
,그레이 하운드,S,J,IO,3,5,3,3,10u,2,3
,그레이 하운드,S,J,I,3,4,2,5,30u,1,4
,그레이 하운드,S,A,I,3,3,2,4,10u,2,3
,그레이 하운드,S,A,I,4,3,2,4,30u,3,2
,그레이 하운드,S,A,O,4,3,3,5,30o,4,2
,그레이 하운드,S,J,O,2,4,2,5,30o,5,1
,그레이 하운드,S,J,I,2,4,2,4,30u,3,2
,그레이 하운드,S,J,I,4,4,2,4,10u,2,3
,그레이 하운드,S,A,O,4,4,1,4,10u,1,3
,그레이 하운드,S,A,O,4,4,2,3,30u,2,4
,그레이 하운드,S,A,I,4,4,2,4,30o,3,2
,그레이 하운드,S,J,I,3,3,2,4,10u,3,1
,그레이 하운드,S,J,IO,3,3,3,5,30u,4,2
,그레이 하운드,S,A,O,4,4,3,4,10u,5,3
,그레이 하운드,S,J,I,4,4,3,3,30u,3,3
,그레이 하운드,S,A,I,4,5,2,4,10u,2,4
,그레이 하운드,S,J,I,3,3,3,4,30u,1,2
,그레이 하운드,S,J,O,3,4,4,5,10u,2,3
