,이름,크기,거주환경,실내실외,외로움,운동량,털빠짐,친화성(애교),의료비용,개짖음,집지키기
0,진돗개,L,J,O,5,5,5,4,10u,5,3
1,진돗개,L,J,O,1,5,3,5,10u,1,5
4,허스키,M,A,I,4,5,5,4,30u,3,4
5,말티즈,S,A,I,5,5,5,5,30u,2,1
6,푸들,S,J,IO,4,4,4,4,30o,4,4
7,말티즈,S,A,I,3,5,3,5,10u,3,5
10,믹스견,S,J,O,2,5,4,5,10u,3,5
17,푸들,S,A,I,4,5,1,4,30u,4,3
18,말티즈,S,A,I,5,4,4,5,10u,3,4
20,믹스견,S,J,O,4,4,3,4,30u,4,4
22,비숑,S,J,I,5,5,3,3,10u,2,3
26,믹스견,S,A,IO,4,4,2,4,10u,4,1
27,진돗개,M,A,I,4,5,3,3,10u,3,3
29,시츄,S,A,I,4,4,3,3,30u,1,2
31,푸들,M,J,I,5,5,3,5,10u,4,3
33,푸들,S,A,I,5,5,2,5,30u,1,1
35,발바리,M,J,O,5,5,4,5,10u,5,5
36,요키,S,A,I,5,3,1,5,10u,3,3
39,미니핀,S,A,I,5,5,4,5,30u,3,4
46,말티즈,S,A,I,5,3,1,3,10u,3,1
49,코카스파니엘,M,A,I,4,4,4,5,30u,2,3
51,믹스견,M,J,I,4,4,3,4,10u,4,5
53,치와와,S,A,I,4,4,3,3,10u,3,2
55,말티즈,S,A,I,4,3,2,3,30u,3,2
56,미니핀,S,J,IO,4,5,3,5,30u,2,3
59,치와와,S,A,I,5,5,1,5,30u,2,4
61,푸들,M,A,I,5,5,1,4,10u,4,3
63,말티즈,S,A,I,5,5,5,5,10u,3,3
64,시츄,S,A,I,4,4,3,3,10u,2,3
66,진돗개,L,J,O,4,5,3,4,10u,4,5
69,허스키,M,J,I,4,4,4,4,30u,3,4
72,말티즈,S,A,I,5,5,1,4,10u,1,2
74,웰시코기,M,A,IO,4,3,5,1,10u,2,1
75,포메라니안,S,A,I,5,5,5,5,30u,3,4
78,믹스견,S,J,O,4,5,3,4,10u,3,5
80,푸들,S,A,I,5,5,1,5,10u,3,1
81,포메라니안,S,A,I,5,5,4,5,30u,2,3
83,랙돌,L,A,I,5,5,5,5,30u,1,3
85,말티즈,S,A,I,5,3,1,3,10u,1,1
86,시츄,M,A,I,3,2,2,1,10u,1,2
91,포메라니안,S,A,I,5,5,3,5,10u,3,3
92,포메라니안,S,A,I,5,5,3,5,10u,3,1
97,말티즈,S,A,I,5,4,1,5,10u,4,1
98,말티즈,S,A,I,5,5,4,4,10u,4,3
99,치와와,M,A,I,5,2,1,5,30u,3,2
102,러프콜리,M,J,IO,5,5,5,5,30u,3,3
103,말티즈,S,A,I,5,3,1,3,10u,1,1
107,푸들,M,A,I,5,5,1,5,10u,2,4
108,믹스견,S,A,I,5,2,1,2,10u,1,3
109,말티즈,S,J,I,4,4,3,3,30u,3,3
116,포메라니안,S,A,I,5,5,5,3,30u,2,1
122,진돗개,M,J,O,4,4,4,4,30u,2,4
131,코카스파니엘,M,J,IO,4,5,3,5,30u,4,3
132,달마시안,L,J,O,5,5,3,4,10u,4,4
133,요크셔테리어,S,A,I,5,5,5,4,30u,2,3
134,푸들,S,J,O,5,5,1,5,30o,5,1
135,말티즈,S,A,I,5,5,1,3,10u,3,3
136,말티지,S,A,I,4,3,1,5,10u,4,2
143,진돗개,M,J,IO,4,4,5,4,10u,3,5
145,진돗개,L,J,O,4,5,4,4,10u,4,5
149,시츄,M,A,I,5,5,3,2,30u,2,5
154,포메리안,S,A,I,5,5,4,4,10u,4,3
157,믹스견,S,J,I,5,5,3,5,30o,5,1
,말라뮤트,L,A,O,3,5,5,3,10u,4,5
,말라뮤트,L,J,O,2,4,4,3,30u,5,5
,말라뮤트,L,A,O,4,5,5,3,30o,3,4
,말라뮤트,L,A,O,5,4,5,2,10u,4,5
,말라뮤트,L,J,IO,1,5,4,3,10u,2,4
,말라뮤트,L,J,IO,2,5,5,4,30u,3,4
,말라뮤트,L,J,I,4,5,5,5,30o,1,5
,말라뮤트,L,A,O,4,4,4,3,10u,3,5
,말라뮤트,L,J,O,5,5,4,3,10u,2,5
,말라뮤트,L,A,O,3,5,5,3,10u,3,4
,말라뮤트,L,J,O,5,5,5,2,10u,2,5
,말라뮤트,L,J,IO,4,4,5,3,30o,2,5
,말라뮤트,L,A,IO,3,4,5,4,30o,4,4
,말라뮤트,L,A,I,4,5,4,3,30u,4,5
,말라뮤트,L,J,O,5,5,4,3,30o,5,5
,말라뮤트,L,J,O,5,4,5,3,10u,3,5
,말라뮤트,L,J,O,3,4,5,2,30u,2,4
,말라뮤트,L,A,O,5,5,5,3,10u,2,4
,말라뮤트,L,A,IO,4,5,4,4,30u,2,4
,말라뮤트,L,J,IO,5,4,5,3,30u,3,5
,말라뮤트,L,J,I,3,5,4,3,10u,3,5
,말라뮤트,L,J,O,5,5,5,5,30u,4,5
,말라뮤트,L,A,O,4,4,4,3,30u,5,4
,말라뮤트,L,J,O,4,4,5,3,10u,2,5
,말라뮤트,L,A,O,5,5,5,3,30u,3,4
,말라뮤트,L,A,IO,3,5,5,2,30u,4,4
,말라뮤트,L,J,IO,5,4,5,3,10u,5,5
,말라뮤트,L,J,I,2,4,4,3,10u,3,5
,말라뮤트,L,J,O,4,4,4,3,10u,2,5
,말라뮤트,L,J,O,5,5,5,4,10u,3,4
,말라뮤트,L,A,O,1,5,5,3,30u,5,4
,말라뮤트,L,A,O,4,5,5,2,30u,3,5
,말라뮤트,L,J,IO,5,4,4,3,10u,2,4
,말라뮤트,L,J,IO,5,5,5,4,30u,3,5
,말라뮤트,L,A,I,4,5,4,3,30u,4,5
,말라뮤트,L,J,O,4,4,5,3,10u,5,5
,말라뮤트,L,A,O,5,4,5,3,30u,2,4
,말라뮤트,L,J,O,5,5,5,3,10u,3,4
,말라뮤트,L,J,O,4,5,4,3,30u,4,4
,말라뮤트,L,A,IO,4,4,5,3,30u,5,5
,말라뮤트,L,J,IO,5,4,4,3,10u,3,5
,말라뮤트,L,J,I,3,5,5,3,10u,2,5
,말라뮤트,L,J,O,4,5,5,3,30u,3,5
,말라뮤트,L,A,O,4,4,5,3,30u,5,4
,말라뮤트,L,A,O,3,4,4,3,10u,4,5
,말라뮤트,L,J,O,5,5,5,2,30o,2,5
,말라뮤트,L,J,IO,3,5,5,3,30u,3,4
,말라뮤트,L,J,IO,4,4,4,4,30u,4,5
,말라뮤트,L,A,I,5,4,5,3,10u,5,5
,말라뮤트,L,J,O,4,5,4,3,10u,3,4
,아키타,L,A,IO,3,3,5,3,10u,5,5
,아키타,L,J,O,4,3,4,2,10u,4,5
,아키타,L,J,I,5,4,4,3,30u,3,4
,아키타,L,J,I,5,4,5,4,30o,4,4
,아키타,L,J,O,3,4,5,2,30u,3,4
,아키타,L,A,O,4,5,5,2,10u,4,4
,아키타,L,A,I,4,3,4,3,10u,5,3
,아키타,L,J,O,3,4,4,3,10u,5,4
,아키타,L,A,IO,3,3,5,4,30u,5,4
,아키타,L,A,I,2,3,5,4,30o,3,3
,아키타,L,J,O,3,4,5,5,30u,3,3
,아키타,L,J,O,1,5,5,2,30o,4,4
,아키타,L,A,O,2,3,4,2,10u,4,4
,아키타,L,A,I,3,4,4,3,10u,4,4
,아키타,L,A,O,1,3,4,1,10u,5,4
,아키타,L,J,O,1,4,5,3,10u,4,3
,아키타,L,J,I,1,4,5,3,10u,3,3
,아키타,L,J,O,3,5,5,3,30u,3,4
,아키타,L,A,IO,3,4,4,2,30u,3,4
,아키타,L,A,IO,2,3,4,2,10u,4,5
,아키타,L,A,IO,2,4,4,2,30o,4,5
,아키타,L,J,O,3,4,5,3,30o,4,5
,아키타,L,J,IO,4,4,5,3,30u,3,4
,아키타,L,J,IO,2,5,5,3,30u,3,4
,아키타,L,J,O,3,2,4,2,10u,3,4
,아키타,L,A,IO,4,3,4,2,10u,4,3
,아키타,L,A,IO,3,3,4,3,30u,4,3
,아키타,L,J,O,5,4,5,3,30o,2,3
,아키타,L,J,O,3,1,3,4,30o,3,4
,아키타,L,A,IO,3,3,4,4,30o,4,4
,아키타,L,A,I,4,4,4,5,30u,1,3
,아키타,L,J,O,5,3,5,2,30u,4,3
,아키타,L,J,IO,5,4,4,2,30u,2,3
,아키타,L,A,O,3,4,3,3,30u,3,4
,아키타,L,A,IO,4,5,4,3,10u,3,4
,아키타,L,J,O,2,3,4,2,10u,3,5
,아키타,L,J,O,2,4,4,1,10u,3,5
,아키타,L,J,IO,3,4,5,2,30u,4,2
,아키타,L,J,IO,3,5,5,3,30u,5,3
,아키타,L,A,IO,4,3,5,3,30o,3,1
,아키타,L,A,O,5,3,4,3,30o,3,5
,아키타,L,J,O,3,4,5,3,30u,2,3
,아키타,L,J,IO,4,5,4,2,10u,2,2
,아키타,L,J,O,5,3,4,2,10u,4,1
,아키타,L,A,IO,3,4,4,2,30u,4,4
,아키타,L,A,IO,3,4,5,3,30u,4,4
,아키타,L,A,O,3,4,5,3,30u,3,3
,아키타,L,J,O,4,5,4,4,30o,3,3
,아키타,L,J,O,4,3,5,3,30o,3,5
,아키타,L,J,IO,5,4,4,3,30o,3,4
,시바견,S,A,IO,3,4,3,4,10u,2,5
,시바견,S,A,IO,3,5,3,5,10u,3,4
,시바견,S,A,I,2,4,2,3,30u,1,3
,시바견,S,A,I,2,4,2,4,30u,2,4
,시바견,S,J,I,4,4,3,4,10u,2,4
,시바견,S,J,O,5,5,4,5,30o,3,5
,시바견,S,A,O,3,3,4,3,10u,3,5
,시바견,S,J,I,4,3,5,2,10u,1,3
,시바견,S,A,I,2,3,2,3,30u,2,3
,시바견,S,J,I,4,4,2,1,30u,3,3
,시바견,S,A,I,5,4,3,3,10u,1,2
,시바견,S,A,O,2,5,3,3,10u,2,3
,시바견,S,J,O,2,4,1,4,30u,3,4
,시바견,S,J,O,1,4,3,5,30u,4,1
,시바견,S,A,I,2,3,3,3,30u,2,1
,시바견,S,A,O,3,4,3,4,30u,2,2
,시바견,S,A,IO,3,4,3,4,30o,3,3
,시바견,S,A,IO,4,5,4,5,30u,4,4
,시바견,S,A,IO,5,5,4,3,10u,5,5
,시바견,S,J,IO,2,3,5,3,30u,2,3
,시바견,S,J,I,2,4,3,4,30u,2,3
,시바견,S,A,I,3,4,3,2,30o,1,2
,시바견,S,A,I,3,4,3,3,10u,3,3
,시바견,S,J,O,4,3,2,4,30u,2,4
,시바견,S,J,O,2,3,3,4,30u,3,4
,시바견,S,A,O,5,3,3,3,10u,3,5
,시바견,S,A,I,3,3,3,2,30o,4,3
,시바견,S,J,I,3,2,3,2,30u,5,3
,시바견,S,A,O,3,2,3,3,10u,2,2
,시바견,S,A,O,3,2,4,4,30u,3,1
,시바견,S,J,I,4,1,4,4,30o,4,2
,시바견,S,A,I,3,2,5,5,10u,1,3
,시바견,S,A,I,5,3,2,2,10u,2,4
,시바견,S,A,I,2,4,3,2,30u,3,4
,시바견,S,J,I,3,4,3,3,30o,3,3
,시바견,S,J,O,4,5,3,3,30o,4,2
,시바견,S,A,IO,5,4,4,4,30u,3,2
,시바견,S,A,IO,2,3,4,4,10u,4,1
,시바견,S,J,IO,3,2,4,4,10u,2,2
,시바견,S,J,I,4,3,5,5,10u,2,3
,시바견,S,A,I,3,4,4,2,30u,1,4
,시바견,S,A,IO,3,4,3,3,30u,2,3
