이름,친화성,털빠짐,집지키기,실내외구분,운동량
프렌치 불도그 [French Bulldog],m,h,f,io,m
풍산개 [Poongsan Dog],l,m,h,o,m
풀리 [Puli],m,l,h,o,h
포인터 [Pointer],h,m,f,o,h
포메라니안 [Pomeranian],m,m,h,i,m
페키니즈 [Pekingese],m,m,m,i,l
퍼그 [Pug],m,h,m,i,m
파피용 [Papillon],h,m,f,i,m
티벳탄 테리어 [Tibetan Terrier],h,h,h,io,h
티벳탄 스파니엘 [Tibetan Spaniel],m,h,f,io,l
티벳탄 마스티프 [Tibetan Mastiff],l,h,h,o,h
토이 푸들 [Toy Poodle],h,l,m,i,m
토이 맨체스터 테리어 [Toy Manchester Terrier],l,m,m,i,m
클럼버 스파니엘 [Clumber Spaniel],m,h,m,o,m
쿠바츠 [Kuvasz],l,m,h,o,h
콜리 [Collie],m,h,h,o,h
코카시안 오브차카 [Caucasian Ovtcharka],l,m,h,o,h
코몬돌 [Komondor],m,l,h,o,m
케언 테리어 [Cairn Terrier],m,m,m,io,h
케리 블루 테리어 [Kerry Blue Terrier],m,l,h,o,m
컬리 코티드 리트리버 [Curly Coated Retriever],m,l,m,o,h
카바리에 킹 찰스 스파니엘 [Cavalier King Charles Spaniel],h,m,f,i,m
치와와 [Chihuahua],m,m,h,i,l
체사피크 베이 리트리버 [Chesapeake Bay Retriever],h,m,m,o,h
차이니즈 크레스티드 [Chinese Crested],m,l,f,i,l
차이니즈 샤페이 [Chinese Shar-pei],l,m,m,o,m
차우차우 [Chowchow],l,h,h,o,h
진돗개 [Jindo Dog],l,m,h,o,m
제페니스 친 [Japanese Chin],m,m,f,i,l
제페니스 스피츠 [Japanese Spitz],m,h,h,io,m
저먼 와이어헤어드 포인터 [German Wirehaired Pointer],m,m,m,o,h
저먼 쇼트헤어드 포인터 [German Shorthaired Pointer],m,l,f,o,h
저먼 셰퍼드 도그 [German Shepherd Dog],m,h,h,o,h
잭 러셀 테리어 [Jack Russel Terrier],m,m,m,io,h
자이언트 슈나우저 [Giant Schnauzer],m,m,m,o,h
잉글리시 코카 스파니엘 [English Cocker Spaniel],h,h,m,io,m
잉글리시 스프링거 스파니엘 [English Springer Spaniel],h,m,m,o,h
잉글리시 세터 [English Setter],h,h,f,o,h
이탈리안 그레이하운드 [Italian Greyhound],h,m,f,i,h
웰시 테리어 [Welsh Terrier],h,h,h,io,h
웰시 코기 [Welsh Corgi],m,h,m,io,h
웨스트 하이랜드 화이트 테리어 [West Highland White Terrier],h,m,h,io,h
요크셔 테리어 [Yorkshire Terrier],h,m,h,i,m
와이어헤어드 포인팅 그리폰 [Wirehaired Pointing Griffon],m,m,m,o,h
와이마라너 [Weimaraner],l,m,m,o,h
올드 잉글리시 쉽독 [Old English Sheepdog],h,h,f,o,h
오스트레일리안 테리어 [Australian Terrier],m,m,h,io,h
에어데일 테리어 [Airedale Terrier],m,l,h,o,h
알래스칸 맬러뮤트 [Alaskan Malamute],m,h,h,o,h
아프간 하운드 [Afghan Hound],l,h,f,o,h
아펜핀셔 [Affenpinscher],l,m,h,i,m
아키타 [Akita],l,h,h,o,h
아이리쉬 테리어 [Irish Terrier],h,m,h,o,h
아이리쉬 워터 스파니엘 [Irish Water Spaniel],m,l,m,o,h
아이리쉬 울프하운드 [Irish Wolfhound],m,l,m,o,h
아이리쉬 세터 [Irish Setter],h,h,f,o,h
아메리칸 코카 스파니엘 [American Cocker Spaniel],h,m,m,io,h
실키 테리어 [Silky Terrier],l,m,h,i,m
실리함 테리어 [Sealyham Terrier],l,l,m,io,m
