"타임스탬프","반려견을 키우고 있거나, 키웠던 경험이 있나요?","반려견의 견종을 적어주세요","1. 반려견의 크기를 선택해주세요 ","2. 실제 반려견과 함께 생활하는 주거환경을 선택해주세요.","3. 반려견을 실내, 실외 어디서 키우시나요?"," 4. 반려견이 혼자 있을때, 외로움을 느낀다고 생각하나요?  ","5. 반려견이 활동적이고 노는걸 좋아하나요?","6. 반려견의 털빠짐은 어느정도인가요?","7. 반려견이 사랑을 적극적으로 표현하나요?","8.  매 달 반려견의 의료비용은 얼마나 지출하시나요?","9. 반려견과 함께 생활하는 가족구성원중에 7세 이하의 아이가 있나요?","10. 반려견의 짖는 빈도는 어느 정도 인가요?","11. 반려견의 집지키기 능력은 어느정도인가요?"
"2021/07/02 5:08:54 오후 GMT+9","있다","진돗개","대형견","야외","실외","5","5","5","4","10만원 이하","없다.","5","3"
"2021/07/02 5:11:10 오후 GMT+9","있다","진돗개","대형견","단독주택","실외","1","5","3","5","10만원 이하","없다.","1","5"
"2021/07/02 5:23:03 오후 GMT+9","없다","","","","","","","","","","","",""
"2021/07/02 5:25:35 오후 GMT+9","없다","","","","","","","","","","","",""
"2021/07/02 5:27:49 오후 GMT+9","있다","허스키","중형견","아파트, 빌라, 오피스텔","실내","4","5","5","4","30만원 이하","있다.","3","4"
"2021/07/02 5:28:59 오후 GMT+9","있다","말티즈","소형견","아파트, 빌라, 오피스텔","실내","5","5","5","5","30만원 이하","없다.","2","1"
"2021/07/02 5:32:57 오후 GMT+9","있다","푸들","소형견","단독주택","실내, 실외 둘다","4","4","4","4","30만원 초과","없다.","4","4"
"2021/07/02 5:35:05 오후 GMT+9","있다","말티즈","소형견","아파트, 빌라, 오피스텔","실내","3","5","3","5","10만원 이하","없다.","3","5"
"2021/07/02 5:38:01 오후 GMT+9","없다","","","","","","","","","","","",""
"2021/07/02 5:39:25 오후 GMT+9","없다","","","","","","","","","","","",""
"2021/07/02 5:39:31 오후 GMT+9","있다","믹스견","소형견","단독주택","실외","2","5","4","5","10만원 이하","없다.","3","5"
"2021/07/02 5:39:37 오후 GMT+9","없다","","","","","","","","","","","",""
"2021/07/02 5:41:01 오후 GMT+9","없다","","","","","","","","","","","",""
"2021/07/02 5:41:41 오후 GMT+9","없다","","","","","","","","","","","",""
"2021/07/02 5:41:43 오후 GMT+9","없다","","","","","","","","","","","",""
"2021/07/02 5:42:18 오후 GMT+9","없다","","","","","","","","","","","",""
"2021/07/02 5:42:57 오후 GMT+9","없다","","","","","","","","","","","",""
"2021/07/02 5:43:05 오후 GMT+9","있다","토이푸들","소형견","아파트, 빌라, 오피스텔","실내","4","5","1","4","30만원 이하","없다.","4","3"
"2021/07/02 5:43:55 오후 GMT+9","있다","말팆ㅡ","소형견","아파트, 빌라, 오피스텔","실내","5","4","4","5","10만원 이하","없다.","3","4"
